price,Selected,carat,cut,color,clarity,depth,table,x,y,z
553,No,0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.00,2.45
554,No,0.30,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.70
554,No,0.30,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68
554,No,0.30,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67
554,No,0.30,Good,H,SI1,63.7,57.0,4.28,4.26,2.72
554,No,0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49
554,No,0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51
554,No,0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56
554,No,0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53
554,No,0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55
554,No,0.26,Very Good,E,VVS1,63.4,59.0,4.00,4.04,2.55
554,No,0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53
554,No,0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54
554,No,0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87
554,No,0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45
554,No,0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44
554,No,0.24,Premium,H,VVS1,60.8,59.0,4.02,4.00,2.44
554,No,0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46
554,No,0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73
2757,No,0.70,Ideal,E,SI1,62.5,57.0,5.70,5.72,3.57
2757,No,0.70,Ideal,G,VS2,61.6,56.0,5.70,5.67,3.50
2759,No,0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56
2759,No,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72
2759,No,0.70,Good,F,VS1,59.4,62.0,5.71,5.76,3.40
2760,No,0.73,Very Good,E,SI1,61.6,59.0,5.77,5.78,3.56
2760,No,0.80,Premium,H,SI1,61.5,58.0,5.97,5.93,3.66
2760,No,0.75,Very Good,D,SI1,63.2,56.0,5.80,5.75,3.65
2760,No,0.75,Premium,E,SI1,59.9,54.0,6.00,5.96,3.58
2760,No,0.74,Ideal,G,SI1,61.6,55.0,5.80,5.85,3.59
2760,No,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59
2760,No,0.80,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72
2760,No,0.75,Ideal,G,SI1,62.2,55.0,5.87,5.80,3.63
2760,No,0.80,Premium,G,SI1,63.0,59.0,5.90,5.81,3.69
2761,No,0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61
2761,No,0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.60
2761,No,0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35
2761,No,0.80,Ideal,F,SI2,61.4,57.0,5.96,6.00,3.67
2761,No,0.74,Ideal,E,SI2,62.2,56.0,5.80,5.84,3.62
2761,No,0.90,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87
2762,No,0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59
2762,No,0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.60
2762,No,0.73,Ideal,F,VS2,62.7,53.0,5.80,5.75,3.62
2762,No,0.80,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68
2762,No,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58
2762,No,0.70,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49
2762,No,0.80,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62
2762,No,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56
2762,No,0.74,Ideal,E,SI1,62.3,54.0,5.80,5.83,3.62
2762,No,0.70,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47
2762,No,0.70,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58
2762,No,0.70,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46
2763,No,0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.70
2763,No,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32
2763,No,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93
2763,No,0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64
2764,No,0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.60
2764,No,0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53
2765,No,0.70,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53
2765,No,0.77,Very Good,H,VS1,61.3,60.0,5.88,5.90,3.61
2765,No,0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37
2765,No,0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46
2765,No,0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53
2765,No,0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61
2766,No,0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43
2766,No,0.71,Premium,G,VS2,60.9,57.0,5.78,5.75,3.51
2766,No,0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.50
2767,No,0.70,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52
2767,No,0.70,Very Good,F,VS1,60.0,57.0,5.80,5.87,3.50
2767,No,0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54
2768,No,0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52
2768,No,0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52
2768,No,0.70,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48
2768,No,0.70,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.50
2768,No,0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51
2769,No,0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57
2770,No,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52
2770,No,0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56
2770,No,0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65
2770,No,0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62
2770,No,0.71,Ideal,F,SI1,60.7,56.0,5.77,5.80,3.51
2770,No,0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55
2770,No,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55
2770,No,0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54
2770,No,0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49
2771,No,0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51
2771,No,0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58
2771,No,0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56
2771,No,0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68
2772,No,0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54
2772,No,0.80,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67
2772,No,0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33
2772,No,0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.30
2772,No,0.71,Good,E,VS2,59.2,61.0,5.80,5.88,3.46
2773,No,0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.60
2774,No,1.17,Very Good,J,I1,60.2,61.0,6.83,6.90,4.13
2774,No,0.60,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35
2774,No,0.70,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58
2774,No,0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79
2775,No,0.74,Very Good,F,VS2,61.3,61.0,5.80,5.84,3.57
2776,No,0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61
2776,No,0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58
2776,No,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55
2776,No,0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24
2776,No,0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23
2776,No,0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55
2776,No,0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53
2776,No,0.72,Good,G,VS2,59.7,60.5,5.80,5.84,3.47
2776,No,0.71,Ideal,G,SI1,60.5,56.0,5.80,5.76,3.50
2777,No,0.70,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57
2777,No,0.71,Premium,F,VS2,62.1,58.0,5.67,5.70,3.53
2777,No,0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56
2777,No,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59
2777,No,0.70,Ideal,E,VS2,62.1,55.0,5.70,5.67,3.53
2777,No,0.70,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47
2777,No,0.70,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46
2777,No,0.70,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49
2777,No,0.70,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54
2777,No,0.70,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48
2777,No,0.70,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51
2777,No,0.70,Ideal,E,SI1,61.4,57.0,5.76,5.70,3.52
2777,No,0.72,Premium,F,SI1,61.8,61.0,5.82,5.71,3.56
2777,No,0.70,Very Good,E,SI1,59.9,63.0,5.76,5.70,3.43
2777,No,0.70,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49
2777,No,0.70,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48
2777,No,0.70,Good,E,VS2,64.1,59.0,5.64,5.59,3.60
2777,No,0.78,Premium,F,SI1,62.4,58.0,5.83,5.80,3.63
2777,No,0.70,Very Good,E,SI1,63.2,60.0,5.60,5.51,3.51
2778,No,0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19
2779,No,0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55
2779,No,0.74,Ideal,E,SI1,61.7,56.0,5.84,5.80,3.59
2780,No,0.70,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58
2780,No,0.77,Premium,G,VS2,61.2,58.0,5.90,5.93,3.62
2780,No,0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54
2780,No,0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59
2780,No,0.70,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49
2781,No,1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94
2781,No,0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64
2781,No,0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64
2782,No,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51
2782,No,0.76,Ideal,G,VS2,61.3,56.0,5.90,5.94,3.63
2782,No,0.70,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51
2782,No,0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63
2782,No,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.50
2782,No,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58
2782,No,0.70,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56
2782,No,0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.60
2783,No,0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21
2784,No,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.60
2784,No,0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75
2787,No,0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61
2787,No,0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18
2787,No,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41
2788,No,0.70,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48
2788,No,0.83,Very Good,I,VS1,61.1,60.0,6.07,6.10,3.72
2788,No,0.76,Ideal,I,VVS2,61.8,56.0,5.85,5.87,3.62
2788,No,0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58
2788,No,0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55
2788,No,1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03
2788,No,1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93
2789,No,0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72
2789,No,0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.70
2789,No,0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58
2789,No,0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61
2789,No,1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09
2789,No,0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69
2789,No,0.70,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53
2789,No,0.55,Ideal,G,IF,60.9,57.0,5.28,5.30,3.22
2789,No,0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64
2789,No,0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38
2789,No,0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37
2789,No,0.77,Premium,H,VS1,61.3,60.0,5.90,5.88,3.61
2790,No,0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41
2790,No,0.76,Premium,I,VVS1,58.8,59.0,6.00,5.94,3.51
2790,No,0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76
2790,No,0.71,Premium,F,VS1,60.1,62.0,5.77,5.74,3.46
2790,No,0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53
2791,No,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.10,3.87
2791,No,0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58
2792,No,0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46
2792,No,0.71,Premium,E,SI1,61.8,59.0,5.70,5.75,3.54
2792,No,0.71,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52
2792,No,0.70,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53
2792,No,0.70,Premium,F,VS1,60.7,60.0,5.78,5.75,3.50
2792,No,0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51
2792,No,0.70,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55
2793,No,0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65
2793,No,0.70,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57
2793,No,0.70,Good,E,VS2,64.1,55.0,5.60,5.66,3.61
2793,No,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61
2793,No,0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.60
2794,No,0.79,Very Good,E,SI1,63.2,56.0,5.91,5.86,3.72
2795,No,0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53
2795,No,0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64
2795,No,0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72
2795,No,0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48
2795,No,0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54
2795,No,0.72,Premium,I,IF,63.0,57.0,5.72,5.70,3.60
2795,No,0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58
2796,No,0.73,Good,E,SI1,63.2,58.0,5.70,5.76,3.62
2797,No,0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66
2797,No,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.10,3.67
2797,No,0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57
2797,No,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52
2797,No,0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52
2797,No,0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31
2797,No,0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17
2797,No,0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55
2797,No,0.74,Ideal,H,VS1,61.8,58.0,5.77,5.81,3.58
2797,No,0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58
2797,No,0.80,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67
2797,No,0.80,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72
2798,No,0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62
2799,No,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74
2799,No,0.78,Ideal,D,SI1,61.9,57.0,5.91,5.86,3.64
2800,No,0.60,Very Good,G,IF,61.6,56.0,5.43,5.46,3.35
2800,No,0.90,Good,I,SI2,62.2,59.0,6.07,6.11,3.79
2800,No,0.70,Premium,E,VS1,62.2,58.0,5.60,5.66,3.50
2800,No,0.90,Very Good,I,SI2,61.3,56.0,6.17,6.23,3.80
2800,No,0.83,Ideal,G,SI1,62.3,57.0,5.99,6.08,3.76
2800,No,0.83,Ideal,G,SI1,61.8,57.0,6.03,6.07,3.74
2800,No,0.83,Very Good,H,SI1,62.5,59.0,5.95,6.02,3.74
2800,No,0.74,Premium,G,VS1,62.9,60.0,5.74,5.68,3.59
2800,No,0.79,Ideal,I,VS1,61.8,59.0,5.92,5.95,3.67
2800,No,0.61,Ideal,G,IF,62.3,56.0,5.43,5.45,3.39
2801,No,0.96,Ideal,F,I1,60.7,55.0,6.37,6.41,3.88
2801,No,0.73,Ideal,F,VS2,62.5,55.0,5.80,5.76,3.61
2801,No,0.73,Premium,F,VS2,62.7,58.0,5.76,5.70,3.59
2801,No,0.75,Ideal,H,SI1,60.4,57.0,5.93,5.96,3.59
2801,No,0.71,Premium,F,VS2,62.1,58.0,5.70,5.67,3.53
2801,No,0.71,Good,F,VS2,63.8,58.0,5.64,5.61,3.59
2801,No,0.71,Premium,F,VS2,62.8,57.0,5.69,5.64,3.56
2801,No,1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.00
2801,No,1.00,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98
2802,No,0.87,Very Good,G,SI2,59.9,58.0,6.19,6.23,3.72
2802,No,0.53,Ideal,F,IF,61.9,54.0,5.22,5.25,3.24
2802,No,0.72,Premium,E,VS2,63.0,55.0,5.79,5.61,3.59
2802,No,0.72,Premium,F,VS1,62.4,58.0,5.83,5.70,3.60
2803,No,0.70,Very Good,F,VS2,62.9,58.0,5.63,5.65,3.55
2803,No,0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66
2803,No,0.71,Ideal,G,VS2,61.3,56.0,5.75,5.71,3.51
2803,No,0.73,Ideal,E,SI1,60.6,54.0,5.84,5.89,3.55
2803,No,0.71,Premium,F,VS2,62.6,58.0,5.70,5.67,3.56
2803,No,0.71,Premium,G,VS1,62.4,61.0,5.70,5.65,3.54
2803,No,0.77,Premium,G,VS2,61.3,57.0,5.93,5.88,3.62
2803,No,0.71,Premium,G,VS2,59.9,60.0,5.81,5.77,3.47
2803,No,0.78,Premium,G,VS2,60.8,58.0,6.03,5.95,3.64
2803,No,0.71,Very Good,G,VS1,63.5,55.0,5.66,5.64,3.59
2803,No,0.91,Ideal,D,SI2,62.2,57.0,6.21,6.15,3.85
2804,No,0.71,Very Good,E,VS2,63.8,58.0,5.62,5.66,3.60
2804,No,0.71,Very Good,E,VS2,64.0,57.0,5.66,5.68,3.63
2804,No,0.80,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.70
2804,No,0.70,Very Good,D,SI1,62.3,58.0,5.69,5.73,3.56
2804,No,0.72,Ideal,F,VS1,61.7,57.0,5.74,5.77,3.55
2804,No,0.72,Very Good,F,VS1,62.2,58.0,5.75,5.70,3.56
2804,No,0.82,Ideal,H,VS2,61.5,56.0,6.01,6.08,3.72
2804,No,0.70,Ideal,D,SI1,61.0,59.0,5.68,5.70,3.47
2804,No,0.72,Ideal,D,SI1,62.2,56.0,5.74,5.77,3.58
2804,No,0.72,Ideal,D,SI1,61.5,54.0,5.77,5.80,3.56
2805,No,0.74,Premium,F,VS2,61.7,58.0,5.85,5.78,3.59
2805,No,0.74,Premium,F,VS2,61.9,56.0,5.80,5.77,3.58
2805,No,0.73,Ideal,E,SI2,61.8,58.0,5.77,5.81,3.58
2805,No,0.73,Premium,F,VS2,62.5,57.0,5.75,5.70,3.58
2805,No,0.72,Ideal,G,VS2,62.8,56.0,5.74,5.70,3.59
2805,No,0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78
2806,No,0.81,Very Good,G,SI1,62.5,60.0,5.89,5.94,3.69
2806,No,0.75,Very Good,H,VVS1,60.6,58.0,5.85,5.90,3.56
2806,No,0.70,Ideal,F,SI1,61.6,55.0,5.72,5.74,3.53
2807,No,0.71,Very Good,F,VS1,62.2,58.0,5.66,5.72,3.54
2807,No,0.71,Very Good,F,VS1,60.0,57.0,5.84,5.90,3.52
2807,No,0.93,Premium,J,SI2,61.9,57.0,6.21,6.19,3.84
2808,No,0.80,Very Good,H,VS2,62.8,57.0,5.87,5.91,3.70
2808,No,0.70,Very Good,F,VS1,62.0,57.0,5.64,5.71,3.52
2808,No,0.75,Very Good,G,VS2,63.4,56.0,5.78,5.74,3.65
2808,No,0.58,Ideal,E,VVS2,60.9,56.0,5.41,5.43,3.30
2808,No,0.73,Very Good,D,SI1,63.1,57.0,5.74,5.70,3.61
2809,No,0.81,Very Good,F,SI1,63.1,59.0,5.85,5.79,3.67
2809,No,0.81,Premium,D,SI2,59.2,57.0,6.15,6.05,3.61
2809,No,0.71,Premium,F,SI1,60.7,54.0,5.84,5.80,3.53
2809,No,1.20,Fair,F,I1,64.6,56.0,6.73,6.66,4.33
2810,No,0.70,Very Good,F,VS1,61.8,56.0,5.63,5.70,3.50
2810,No,0.70,Very Good,F,VS1,59.9,60.0,5.77,5.84,3.48
2810,No,0.74,Ideal,D,SI2,61.7,55.0,5.81,5.85,3.60
2810,No,0.70,Good,F,VS1,62.8,61.0,5.57,5.61,3.51
2810,No,0.80,Good,G,SI1,62.7,57.0,5.84,5.93,3.69
2811,No,0.75,Very Good,F,SI1,63.4,58.0,5.72,5.76,3.64
2811,No,0.83,Very Good,D,SI1,63.5,54.0,5.98,5.95,3.79
2812,No,0.70,Very Good,G,VS1,63.0,60.0,5.57,5.64,3.53
